"Type","SKU","GTIN, UPC, EAN, or ISBN","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Brands","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 used for variations","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 used for variations","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 used for variations","Attribute 3 global","Meta: _mpn"
"simple","XH-AD","","Asgard Extension Support Handle - 43” to 76”","1","0","visible","Asgard® Tools feature an interchangeable handle system that allows one support handle to be used with the Corner Applicator, Corner Roller and Nail Spotter without additional adapters. To attach the support handles to the Angle Heads, use the CFA-AD adapter. The XH-AD extendable support handle features robust constr...","<p>Asgard® Tools feature an interchangeable handle system that allows one support handle to be used with the Corner Applicator, Corner Roller and Nail Spotter without additional adapters. To attach the support handles to the Angle Heads, use the CFA-AD adapter. The XH-AD extendable support handle features robust construction and its optimal diameter makes it extremely ergonomic. The XH-AD extends from 43” to 76” (106 cm to 193 cm). The D-shaped fitting securely positions the handle in the Corner Applicator to prevent the tool from rotating during use.</p> <ul> <li>Attaches to Corner Roller, Corner Applicator, Nail Spotter and Angle Heads (with CFA-AD adapter)</li> </ul> <h3>Features</h3> <ul> <li>Extends from 43” to 76” (106 cm to 193 cm)</li> <li>D-Shaped fitting prevents Corner Applicator from rotating</li> </ul> <p><strong><em>Note: Handle only. Other tools shown not included.</em></strong></p> <ul></ul> <ul></ul> <ul></ul> <ul></ul>","","","taxable","","1","","","0","0","3.3","","","","1","","","224.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, XH-AD, corner roller handle, extendable handle, nail spotter handle, semi automatic","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","XH-AD"
"simple","FH-AD","","Asgard Fiberglass Handle - 43""","1","0","visible","Asgard® Tools feature an interchangeable handle system that allows one support handle to be used with the Corner Applicator, Corner Roller and Nail Spotter without additional adapters. To attach the support handles to the Angle Heads, use the CFA-AD adapter. The FH-AD support handle is lightweight but robust and its...","<p>Asgard® Tools feature an interchangeable handle system that allows one support handle to be used with the Corner Applicator, Corner Roller and Nail Spotter without additional adapters. To attach the support handles to the Angle Heads, use the CFA-AD adapter. The FH-AD support handle is lightweight but robust and its optimal diameter makes it extremely ergonomic. The D-shaped fitting securely positions the handle in the Corner Applicator to prevent the tool from rotating during use.</p> <ul> <li>Supports the Corner Applicator, Corner Roller, Nail Spotter and Angle Head (with CFA-AD adapter)</li> </ul> <h3>Features</h3> <ul> <li>Optimal diameter for superior ergonomics</li> <li>D-shaped fitting to prevent Corner Applicator from rotating</li> </ul> <p><strong><em>Note: Handle only. Other tools shown not included.</em></strong></p> <ul></ul> <ul></ul> <ul></ul>","","","taxable","","1","","","0","0","3.3","","","","1","","","48.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, FH-AD, corner roller handle, extendable handle, nail spotter handle, semi automatic","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","FH-AD"
"variable","ASG-ASGARD-FINISHING-BOX","","Asgard Finishing Box","1","0","visible","The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound...","<p>The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint.</p> <ul> <li>Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings</li> <li>Finishes butt joints and flat joints on walls and ceilings</li> <li>Feathers edges of butt joints and flat joints</li> </ul> <h3>Features </h3> <ul> <li>Anodized Aluminum Box</li> <li>Adjustable Crown Control</li> <li>Solid Brass Blade Holder</li> <li>Hardened Steel Blade</li> <li>Pivoting Axle</li> </ul>","","","taxable","","1","","","0","0","","","","","1","","","","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, EZ07-AD, EZ10-AD, EZ12-AD, automatic taping tools, flat box, flatbox","","","","","","","","","","","0","Asgard","Size","7"" | 10"" | 12""","1","1","1","","","","","","","","","","","EZ07-AD, EZ10-AD, EZ12-AD"
"variation","EZ07-AD","","Asgard Finishing Box","1","0","visible","","","","","taxable","","1","","","0","0","2.75","","","","1","","","330.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, EZ07-AD, EZ10-AD, EZ12-AD, automatic taping tools, flat box, flatbox","","","","","ASG-ASGARD-FINISHING-BOX","","","","","","1","Asgard","Size","7""","","1","1","","","","","","","","","","","EZ07-AD"
"variation","EZ10-AD","","Asgard Finishing Box","1","0","visible","","","","","taxable","","1","","","0","0","3.3","","","","1","","","346.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, EZ07-AD, EZ10-AD, EZ12-AD, automatic taping tools, flat box, flatbox","","","","","ASG-ASGARD-FINISHING-BOX","","","","","","2","Asgard","Size","10""","","1","1","","","","","","","","","","","EZ10-AD"
"variation","EZ12-AD","","Asgard Finishing Box","1","0","visible","","","","","taxable","","1","","","0","0","3.85","","","","1","","","361.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, EZ07-AD, EZ10-AD, EZ12-AD, automatic taping tools, flat box, flatbox","","","","","ASG-ASGARD-FINISHING-BOX","","","","","","3","Asgard","Size","12""","","1","1","","","","","","","","","","","EZ12-AD"
"simple","GN01-AD","","Asgard Gooseneck Adapter","1","0","visible","The Asgard® GN01-AD Gooseneck used with the LP01-AD Loading Pump to fill the automatic taper. It features a heavy duty, durable design to provide years of service. The cradle of the Gooseneck features rubber sleeves to protect the main tube of the Automatic Taper.","<p>The Asgard® GN01-AD Gooseneck used with the LP01-AD Loading Pump to fill the automatic taper. It features a heavy duty, durable design to provide years of service. The cradle of the Gooseneck features rubber sleeves to protect the main tube of the Automatic Taper.</p> <ul> <li>Fills Asgard Automatic Taper</li> </ul> <ul></ul> <ul></ul>","","","taxable","","1","","","0","0","1.75","","","","1","","","111.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, GN01-AD, goose neck, gooseneck","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","GN01-AD"
"simple","CR01-AD","","Asgard Inside Corner Roller – Head Only","1","0","visible","The Asgard® CR01-AD Inside Corner Roller attaches to the FH-AD or XH-AD Support Handle to quickly and accurately embed the joint tape into the internal corner joints. Use the Inside Corner Roller immediately after applying joint tape to the internal corner with the Automatic Taper. The CR01-AD forces excess joint co...","<p>The Asgard® CR01-AD Inside Corner Roller attaches to the FH-AD or XH-AD Support Handle to quickly and accurately embed the joint tape into the internal corner joints. Use the Inside Corner Roller immediately after applying joint tape to the internal corner with the Automatic Taper. The CR01-AD forces excess joint compound out from behind the joint tape in preparation for the Angle Head. The Asgard CR01-AD features stainless steel rollers for crisp edges and long life.</p> <ul> <li>Embeds tape into joint compound at internal corners of walls and ceilings</li> <li>Forces excess joint compound out of corner in preparation for Angle Head</li> </ul> <h3>Features</h3> <ul> <li>Stainless Steel Wheels</li> <li>Easy Clean wheel design</li> </ul> <ul></ul> <ul></ul> <ul></ul>","","","taxable","","1","","","0","0","2","","","","1","","","178.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, CR01-AD, corner roller, inside corner roller","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","CR01-AD"
"simple","LP01-AD","","Asgard Loading Pump","1","0","visible","The Asgard® Loading Pump combines reliability with innovation. It is used together with the GN01-TT Gooseneck and FA01-AD Filler Adapter to fill the Automatic Taper, Finishing Boxes, Corner Applicator and Nail Spotter with joint compound. The LP01-AD features the slim tube design preferred by professional finishers...","<p>The Asgard® Loading Pump combines reliability with innovation. It is used together with the GN01-TT Gooseneck and FA01-AD Filler Adapter to fill the Automatic Taper, Finishing Boxes, Corner Applicator and Nail Spotter with joint compound. The LP01-AD features the slim tube design preferred by professional finishers and robust construction for dependable performance and long life. The twist-lock foot valve provides secure attachment and easy removal for cleaning and maintenance. Unlike loading pumps from other brands the Asgard LP01-AD does not require a paper gasket for the filler adapter or gooseneck due to an innovative, integrated O-Ring that provides a terrific seal with fewer headaches from lost, worn or damaged paper gaskets.</p> <ul> <li>Fills Automatic Tapers (with GN01-TT Gooseneck)</li> <li>Fills finishing boxes, corner applicator and nail spotter (with FA01-AD filler adapter)</li> </ul> <h3>Features</h3> <ul> <li>Twist-lock foot valve</li> <li>Integrated gasket for filler adapter and gooseneck</li> <li>Streamlined head design</li> <li>Easy clean tube</li> <li>Anodized for durability</li> </ul>","","","taxable","","1","","","0","0","9.6","","","","1","","","417.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, LP01-AD, automatic taping tools, loading pump","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","LP01-AD"
"variable","ASG-ASGARD-MAXXBOX-FINISHING-BOX","","Asgard MAXXBOX Finishing Box","1","0","visible","The Asgard® MAXXBOX® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The MAXXBOX® Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint...","<p>The Asgard® MAXXBOX® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The MAXXBOX® Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint. Asgard® MAXXBOX® Finishing Boxes are designed with the optimum capacity to weight ratio. This means that you get more “usable” joint compound – the amount that you can actually get out of the finishing box and onto the wall – when you actually need it, like on the first coat over the joint tape. The Asgard 10” MAXXBOX® finishing box delivers 60% more usable joint compound than the standard Classic finishing box (model EZ10-AD) and up to 36% more usable capacity than competitive high capacity finishing boxes.</p> <ul> <li>Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings</li> <li>Finishes butt joints and flat joints on walls and ceilings</li> <li>Feathers edges of butt joints and flat joints</li> </ul> <h3>Features</h3> <ul> <li>EasyClean Pressure Plate</li> <li>Anodized Aluminum Box</li> <li>Adjustable Crown Control</li> <li>Solid Brass Blade Holder</li> <li>Pivoting Axle</li> </ul>","","","taxable","","1","","","0","0","","","","","1","","","","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, EHC07-AD, EHC10-AD, EHC12-AD, MAXXBOX, finishing box, flat box, flatbox, maxx box","","","","","","","","","","","0","Asgard","Size","7"" | 10"" | 12""","1","1","1","","","","","","","","","","","EHC07-AD, EHC10-AD, EHC12-AD"
"variation","EHC07-AD","","Asgard MAXXBOX Finishing Box","1","0","visible","","","","","taxable","","1","","","0","0","4","","","","1","","","403.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, EHC07-AD, EHC10-AD, EHC12-AD, MAXXBOX, finishing box, flat box, flatbox, maxx box","","","","","ASG-ASGARD-MAXXBOX-FINISHING-BOX","","","","","","1","Asgard","Size","7""","","1","1","","","","","","","","","","","EHC07-AD"
"variation","EHC10-AD","","Asgard MAXXBOX Finishing Box","1","0","visible","","","","","taxable","","1","","","0","0","4.5","","","","1","","","413.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, EHC07-AD, EHC10-AD, EHC12-AD, MAXXBOX, finishing box, flat box, flatbox, maxx box","","","","","ASG-ASGARD-MAXXBOX-FINISHING-BOX","","","","","","2","Asgard","Size","10""","","1","1","","","","","","","","","","","EHC10-AD"
"variation","EHC12-AD","","Asgard MAXXBOX Finishing Box","1","0","visible","","","","","taxable","","1","","","0","0","5","","","","1","","","458.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, EHC07-AD, EHC10-AD, EHC12-AD, MAXXBOX, finishing box, flat box, flatbox, maxx box","","","","","ASG-ASGARD-MAXXBOX-FINISHING-BOX","","","","","","3","Asgard","Size","12""","","1","1","","","","","","","","","","","EHC12-AD"
"simple","NS03-AD","","Asgard Nail Spotter – Head Only","1","0","visible","The Asgard® Nail Spotter is used to fill the depressions left from the nails or screw heads during installation of the drywall. The Nail Spotter features an easy clean box design that removes excess compound at the same time as filling the depressions. The hardened steel skid plate allows the Nail Spotter to move al...","<p>The Asgard® Nail Spotter is used to fill the depressions left from the nails or screw heads during installation of the drywall. The Nail Spotter features an easy clean box design that removes excess compound at the same time as filling the depressions. The hardened steel skid plate allows the Nail Spotter to move along the wall smoothly while protecting the stainless steel blade from nail or screw heads that were not fully set below the surface of the drywall. The NS01-AD Nail Spotter attaches to the XH-AD extension handle or FH-AD fiberglass handle (sold separately). The Nail Spotter is also used to quickly identify fasteners that were not properly set during the installation of the gypsum board. Before starting to apply joint tape, run the Nail Spotter over all the fasteners (walls and ceilings). If you hear a “click”, the fastener should be set deeper to avoid damage to the other tools. You can also use the Nail Spotter to apply joint compound to the outside edges of internal corners. This is a quick and efficient way to clean up any edges that may have been left by the Angle Heads due to corners that are slightly out of square.</p> <ul> <li>Fills depressions left from the heads of nails or screws in drywall</li> <li>Removes excess joint compound after filling dimples</li> <li>Quickly identifies improperly set fasteners</li> </ul> <h3>Features</h3> <ul> <li>Weight - 1.50 lb(s)</li> <li>Easy Clean Design</li> <li>Stainless Steel construction</li> <li>Skid Design extends blade life over wheel designs</li> </ul> <ul></ul> <ul></ul> <ul></ul>","","","taxable","","1","","","0","0","3","","","","1","","","298.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, NS03-AD, nail spotter, nailspotter","","","","","","","","","","","0","Asgard","","","","","","","","","","","","","","","","NS03-AD"
"variable","ASG-ASGARD-POWER-ASSIST-MAXXBOX-FINISHING-BOX","","Asgard Power Assist MAXXBOX Finishing Box","1","0","visible","The Asgard® Power Assist® Finishing Box requires 50% less effort to automatically dispense the proper amount of joint compound and feather the edges of butt joints and flat joints in one pass. Simply place the blade on the joint first then apply the wheels to activate the Power Assist mechanism. The Power Assist® fi...","<p>The Asgard® Power Assist® Finishing Box requires 50% less effort to automatically dispense the proper amount of joint compound and feather the edges of butt joints and flat joints in one pass. Simply place the blade on the joint first then apply the wheels to activate the Power Assist mechanism. The Power Assist® finishing boxes from Asgard® provide the extra capacity you want with half the effort required from other high-capacity finishing boxes. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first embedding application to the second or third finishing coat. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint.</p> <ul> <li>Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings</li> <li>Finishes butt joints and flat joints on walls and ceilings</li> <li>Feathers edges of butt joints and flat joints</li> </ul> <h3>Features</h3> <ul> <li>Reverse Springs for power-assisted finishing</li> <li>EasyClean Pressure Plate</li> <li>Anodized Aluminum Box</li> <li>Adjustable Crown Control</li> <li>Solid Brass Blade Holder</li> <li>Pivoting Axle</li> </ul>","","","taxable","","1","","","0","0","","","","","1","","","","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, PA07-AD, PA10-AD, PA12-AD, auto box, auto flat, auto flat box, automatic, finishing box, flat box, power assist","","","","","","","","","","","0","Asgard","Size","7"" | 10"" | 12""","1","1","1","","","","","","","","","","","PA07-AD, PA10-AD, PA12-AD"
"variation","PA07-AD","","Asgard Power Assist MAXXBOX Finishing Box","1","0","visible","","","","","taxable","","1","","","0","0","3","","","","1","","","472.00","Drywall Finishing Tools > Asgard > Automatic Taping Tools","Asgard, Automatic Taping Tools, PA07-AD, PA10-AD, PA12-AD, auto box, auto flat, auto flat box, automatic, finishing box, flat box, power assist","","","","","ASG-ASGARD-POWER-ASSIST-MAXXBOX-FINISHING-BOX","","","","","","1","Asgard","Size","7""","","1","1","","","","","","","","","","","PA07-AD"
